Lfd,Code,Researchers,Language,Date,Start,End,Check,Verb,Sentencetype,Item,Rating,Origin
Lfd_02,306AI,ABR/JS/AS,S,15.05.2023,12:15:00,12:28:00,NW,U,PN,49,7,B
Lfd_02,306AI,ABR/JS/AS,S,15.05.2023,12:15:00,12:28:00,NW,U,PI,69,6,B
Lfd_02,306AI,ABR/JS/AS,S,15.05.2023,12:15:00,12:28:00,NW,U,AA,105,2,B
Lfd_03,222ES,ABR/JS/AS,S,15.05.2023,12:50:00,13:00:00,NW,C,AA,13,7,B
Lfd_03,222ES,ABR/JS/AS,S,15.05.2023,12:50:00,13:00:00,NW,C,PN,30,5,B
Lfd_03,222ES,ABR/JS/AS,S,15.05.2023,12:50:00,13:00:00,NW,C,AI,37,7,B
Lfd_03,222ES,ABR/JS/AS,S,15.05.2023,12:50:00,13:00:00,NW,C,PA,60,7,B
Lfd_03,222ES,ABR/JS/AS,S,15.05.2023,12:50:00,13:00:00,NW,C,PI,103,1,B
Lfd_03,222ES,ABR/JS/AS,S,15.05.2023,12:50:00,13:00:00,NW,D,PN,4,7,B
Lfd_03,222ES,ABR/JS/AS,S,15.05.2023,12:50:00,13:00:00,NW,D,AA,54,5,B
Lfd_03,222ES,ABR/JS/AS,S,15.05.2023,12:50:00,13:00:00,NW,D,AI,84,7,B
Lfd_03,222ES,ABR/JS/AS,S,15.05.2023,12:50:00,13:00:00,NW,D,PA,97,7,B
Lfd_03,222ES,ABR/JS/AS,S,15.05.2023,12:50:00,13:00:00,NW,D,PI,114,7,B
Lfd_03,222ES,ABR/JS/AS,S,15.05.2023,12:50:00,13:00:00,NW,E,PA,34,5,B
Lfd_03,222ES,ABR/JS/AS,S,15.05.2023,12:50:00,13:00:00,NW,E,AI,52,7,B
Lfd_03,222ES,ABR/JS/AS,S,15.05.2023,12:50:00,13:00:00,NW,E,AA,75,5,B
Lfd_03,222ES,ABR/JS/AS,S,15.05.2023,12:50:00,13:00:00,NW,E,PN,94,7,B
Lfd_03,222ES,ABR/JS/AS,S,15.05.2023,12:50:00,13:00:00,NW,E,PI,109,7,B
Lfd_03,222ES,ABR/JS/AS,S,15.05.2023,12:50:00,13:00:00,NW,M,PA,9,4,B
Lfd_03,222ES,ABR/JS/AS,S,15.05.2023,12:50:00,13:00:00,NW,M,AA,28,7,B
Lfd_03,222ES,ABR/JS/AS,S,15.05.2023,12:50:00,13:00:00,NW,M,PN,73,4,B
Lfd_03,222ES,ABR/JS/AS,S,15.05.2023,12:50:00,13:00:00,NW,M,PI,88,7,B
Lfd_03,222ES,ABR/JS/AS,S,15.05.2023,12:50:00,13:00:00,NW,M,AI,99,7,B
Lfd_03,222ES,ABR/JS/AS,S,15.05.2023,12:50:00,13:00:00,NW,P,PI,19,7,B
Lfd_03,222ES,ABR/JS/AS,S,15.05.2023,12:50:00,13:00:00,NW,P,PN,39,7,B
Lfd_03,222ES,ABR/JS/AS,S,15.05.2023,12:50:00,13:00:00,NW,P,AA,67,7,B
Lfd_03,222ES,ABR/JS/AS,S,15.05.2023,12:50:00,13:00:00,NW,P,PA,79,7,B
Lfd_03,222ES,ABR/JS/AS,S,15.05.2023,12:50:00,13:00:00,NW,P,AI,117,7,B
Lfd_03,222ES,ABR/JS/AS,S,15.05.2023,12:50:00,13:00:00,NW,S,AI,7,3,B
Lfd_03,222ES,ABR/JS/AS,S,15.05.2023,12:50:00,13:00:00,NW,S,PI,45,7,B
Lfd_03,222ES,ABR/JS/AS,S,15.05.2023,12:50:00,13:00:00,NW,S,PN,58,7,B
Lfd_03,222ES,ABR/JS/AS,S,15.05.2023,12:50:00,13:00:00,NW,S,AI,90,7,B
Lfd_03,222ES,ABR/JS/AS,S,15.05.2023,12:50:00,13:00:00,NW,S,PA,119,6,B
Lfd_03,222ES,ABR/JS/AS,S,15.05.2023,12:50:00,13:00:00,NW,T,PI,22,7,B
Lfd_03,222ES,ABR/JS/AS,S,15.05.2023,12:50:00,13:00:00,NW,T,AA,43,5,B
Lfd_03,222ES,ABR/JS/AS,S,15.05.2023,12:50:00,13:00:00,NW,T,AI,64,7,B
Lfd_03,222ES,ABR/JS/AS,S,15.05.2023,12:50:00,13:00:00,NW,T,PN,82,4,B
Lfd_03,222ES,ABR/JS/AS,S,15.05.2023,12:50:00,13:00:00,NW,T,PA,112,7,B
Lfd_03,222ES,ABR/JS/AS,S,15.05.2023,12:50:00,13:00:00,NW,U,PA,15,7,B
Lfd_03,222ES,ABR/JS/AS,S,15.05.2023,12:50:00,13:00:00,NW,U,AI,24,7,B
Lfd_03,222ES,ABR/JS/AS,S,15.05.2023,12:50:00,13:00:00,NW,U,PN,49,6,B
Lfd_03,222ES,ABR/JS/AS,S,15.05.2023,12:50:00,13:00:00,NW,U,PI,69,7,B
Lfd_03,222ES,ABR/JS/AS,S,15.05.2023,12:50:00,13:00:00,NW,U,AA,105,3,B
Lfd_04,333NL,ABR/JS/AS,S,15.05.2023,12:50:00,12:58:00,NW,C,AA,13,6,B
Lfd_04,333NL,ABR/JS/AS,S,15.05.2023,12:50:00,12:58:00,NW,C,PN,30,5,B
Lfd_04,333NL,ABR/JS/AS,S,15.05.2023,12:50:00,12:58:00,NW,C,AI,37,6,B
Lfd_04,333NL,ABR/JS/AS,S,15.05.2023,12:50:00,12:58:00,NW,C,PA,60,4,B
Lfd_04,333NL,ABR/JS/AS,S,15.05.2023,12:50:00,12:58:00,NW,C,PI,103,5,B
Lfd_04,333NL,ABR/JS/AS,S,15.05.2023,12:50:00,12:58:00,NW,D,PN,4,7,B
Lfd_04,333NL,ABR/JS/AS,S,15.05.2023,12:50:00,12:58:00,NW,D,AA,54,3,B
Lfd_04,333NL,ABR/JS/AS,S,15.05.2023,12:50:00,12:58:00,NW,D,AI,84,7,B
Lfd_04,333NL,ABR/JS/AS,S,15.05.2023,12:50:00,12:58:00,NW,D,PA,97,7,B
Lfd_04,333NL,ABR/JS/AS,S,15.05.2023,12:50:00,12:58:00,NW,D,PI,114,7,B
Lfd_04,333NL,ABR/JS/AS,S,15.05.2023,12:50:00,12:58:00,NW,E,PA,34,3,B
Lfd_04,333NL,ABR/JS/AS,S,15.05.2023,12:50:00,12:58:00,NW,E,AI,52,7,B
Lfd_04,333NL,ABR/JS/AS,S,15.05.2023,12:50:00,12:58:00,NW,E,AA,75,6,B
Lfd_04,333NL,ABR/JS/AS,S,15.05.2023,12:50:00,12:58:00,NW,E,PN,94,6,B
Lfd_04,333NL,ABR/JS/AS,S,15.05.2023,12:50:00,12:58:00,NW,E,PI,109,6,B
Lfd_04,333NL,ABR/JS/AS,S,15.05.2023,12:50:00,12:58:00,NW,M,PA,9,6,B
