Lfd,Code,Researchers,Language,Date,Start,End,Check,Verb,Sentencetype,Item,Rating,Origin
Lfd_04,RF107,ABR/JS/AS,S,15.05.2023,13:00:00,13:09:00,NW/ASS,U,PA,15,2,B
Lfd_04,RF107,ABR/JS/AS,S,15.05.2023,13:00:00,13:09:00,NW/ASS,U,AI,24,2,B
Lfd_04,RF107,ABR/JS/AS,S,15.05.2023,13:00:00,13:09:00,NW/ASS,U,PN,49,2,B
Lfd_04,RF107,ABR/JS/AS,S,15.05.2023,13:00:00,13:09:00,NW/ASS,U,PI,69,3,B
Lfd_04,RF107,ABR/JS/AS,S,15.05.2023,13:00:00,13:09:00,NW/ASS,U,AA,105,2,B
Lfd_05,AS303,ABR/JS/AS,S,15.05.2023,13:00:00,13:08:00,NW/ASS,C,AA,13,2,B
Lfd_05,AS303,ABR/JS/AS,S,15.05.2023,13:00:00,13:08:00,NW/ASS,C,PN,30,1,B
Lfd_05,AS303,ABR/JS/AS,S,15.05.2023,13:00:00,13:08:00,NW/ASS,C,AI,37,1,B
Lfd_05,AS303,ABR/JS/AS,S,15.05.2023,13:00:00,13:08:00,NW/ASS,C,PA,60,1,B
Lfd_05,AS303,ABR/JS/AS,S,15.05.2023,13:00:00,13:08:00,NW/ASS,C,PI,103,4,B
Lfd_05,AS303,ABR/JS/AS,S,15.05.2023,13:00:00,13:08:00,NW/ASS,D,PN,4,7,B
Lfd_05,AS303,ABR/JS/AS,S,15.05.2023,13:00:00,13:08:00,NW/ASS,D,AA,54,3,B
Lfd_05,AS303,ABR/JS/AS,S,15.05.2023,13:00:00,13:08:00,NW/ASS,D,AI,84,5,B
Lfd_05,AS303,ABR/JS/AS,S,15.05.2023,13:00:00,13:08:00,NW/ASS,D,PA,97,5,B
Lfd_05,AS303,ABR/JS/AS,S,15.05.2023,13:00:00,13:08:00,NW/ASS,D,PI,114,7,B
Lfd_05,AS303,ABR/JS/AS,S,15.05.2023,13:00:00,13:08:00,NW/ASS,E,PA,34,5,B
Lfd_05,AS303,ABR/JS/AS,S,15.05.2023,13:00:00,13:08:00,NW/ASS,E,AI,52,4,B
Lfd_05,AS303,ABR/JS/AS,S,15.05.2023,13:00:00,13:08:00,NW/ASS,E,AA,75,6,B
Lfd_05,AS303,ABR/JS/AS,S,15.05.2023,13:00:00,13:08:00,NW/ASS,E,PN,94,4,B
Lfd_05,AS303,ABR/JS/AS,S,15.05.2023,13:00:00,13:08:00,NW/ASS,E,PI,109,7,B
Lfd_05,AS303,ABR/JS/AS,S,15.05.2023,13:00:00,13:08:00,NW/ASS,M,PA,9,1,B
Lfd_05,AS303,ABR/JS/AS,S,15.05.2023,13:00:00,13:08:00,NW/ASS,M,AA,28,7,B
Lfd_05,AS303,ABR/JS/AS,S,15.05.2023,13:00:00,13:08:00,NW/ASS,M,PN,73,5,B
